2021-07-27 10:14:17.968 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.13.Final
2021-07-27 10:14:18.006 [main] INFO  com.htinf.sm.ServiceManageApplication - Starting ServiceManageApplication v0.0.1-SNAPSHOT using Java 1.8.0_261 on abc-PC with PID 17032 (F:\Program Files\sourcecode\ivms6.0\service_manage\target\server_manage-0.0.1-SNAPSHOT.jar started by abc in F:\Program Files\sourcecode\ivms6.0\service_manage)
2021-07-27 10:14:18.007 [main] INFO  com.htinf.sm.ServiceManageApplication - No active profile set, falling back to default profiles: default
2021-07-27 10:14:19.601 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-27 10:14:19.606 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-27 10:14:19.663 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2021-07-27 10:14:21.218 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2021-07-27 10:14:21.237 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2021-07-27 10:14:21.239 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-27 10:14:21.239 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
2021-07-27 10:14:21.367 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8081"]
2021-07-27 10:14:21.369 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-07-27 10:14:21.370 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8081"]
2021-07-27 10:14:21.405 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-07-27 10:15:45.651 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.13.Final
2021-07-27 10:15:45.693 [main] INFO  com.htinf.sm.ServiceManageApplication - Starting ServiceManageApplication v0.0.1-SNAPSHOT using Java 1.8.0_261 on abc-PC with PID 15736 (F:\Program Files\sourcecode\ivms6.0\service_manage\target\server_manage-0.0.1-SNAPSHOT.jar started by abc in F:\Program Files\sourcecode\ivms6.0\service_manage)
2021-07-27 10:15:45.693 [main] INFO  com.htinf.sm.ServiceManageApplication - No active profile set, falling back to default profiles: default
2021-07-27 10:15:47.298 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-27 10:15:47.304 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-27 10:15:47.335 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2021-07-27 10:15:48.641 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2021-07-27 10:15:48.661 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2021-07-27 10:15:48.662 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-27 10:15:48.663 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
2021-07-27 10:15:48.751 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8081"]
2021-07-27 10:15:48.751 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-07-27 10:15:48.753 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8081"]
2021-07-27 10:15:48.788 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-07-27 10:16:10.487 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.13.Final
2021-07-27 10:16:10.533 [main] INFO  com.htinf.sm.ServiceManageApplication - Starting ServiceManageApplication v0.0.1-SNAPSHOT using Java 1.8.0_261 on abc-PC with PID 19976 (F:\Program Files\sourcecode\ivms6.0\service_manage\target\server_manage-0.0.1-SNAPSHOT.jar started by abc in F:\Program Files\sourcecode\ivms6.0\service_manage)
2021-07-27 10:16:10.533 [main] INFO  com.htinf.sm.ServiceManageApplication - No active profile set, falling back to default profiles: default
2021-07-27 10:16:11.900 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-27 10:16:11.907 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-27 10:16:11.940 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2021-07-27 10:16:13.314 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2021-07-27 10:16:13.336 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2021-07-27 10:16:13.337 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-27 10:16:13.337 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
